"Rank","Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","TO","Overall"
"367","Chasson Randle","WAS","PG,SG","-0.64","-0.80","-0.37","-0.71","-0.53","-0.11","-0.09","-0.37","-0.03","-3.65"
"368","Isaiah Canaan","MIN","PG","-0.55","-0.61","-0.09","-0.76","-0.48","-0.44","-0.03","-0.18","-0.52","-3.68"
"369","Joakim Noah","MEM","PF,C","-0.69","-0.24","-0.48","-0.13","-0.57","-0.01","-0.64","-0.85","-0.07","-3.70"
"370","Jerome Robinson","LAC","SG","-0.84","-0.87","-0.82","-0.71","-0.95","0.07","-0.08","-0.56","1.05","-3.70"
"371","Lorenzo Brown","FA","PG","-0.83","-0.76","-0.51","-0.50","-0.48","-0.51","0.07","-0.69","0.49","-3.73"
"372","Tyrone Wallace","LAC","SG","-0.54","-0.50","-0.58","-0.40","-0.29","-0.22","-1.10","-0.80","0.70","-3.74"
"373","Greg Monroe","TOR","PF,C","-0.48","0.10","-0.67","-0.34","-0.48","-0.04","-1.18","-0.85","0.20","-3.74"
"374","Will Barton","DEN","SG,SF","-0.58","-0.63","-0.50","-0.50","-0.90","0.04","0.10","-0.34","-0.44","-3.75"
"375","Jason Smith","MIL","PF,C","-0.83","-0.62","-0.69","-0.40","-0.90","-0.21","0.13","-0.66","0.43","-3.75"
"376","Carmelo Anthony","CHI","SF,PF","-0.58","-0.57","-0.79","-0.40","-0.86","-0.35","-0.19","-0.29","0.27","-3.75"
"377","Salah Mejri","DAL","C","-0.90","-0.77","-0.78","-0.71","-0.95","0.15","0.09","-0.85","0.96","-3.76"
"378","Sviatoslav Mykhailiuk","LAL","SG,SF","-0.62","-0.74","-0.46","-0.76","-0.43","-0.87","-0.33","-0.13","0.57","-3.78"
"379","Jalen Jones","FA","SG,SF","-0.75","-0.73","-0.77","-0.66","-0.62","-0.13","-0.17","-0.58","0.62","-3.78"
"380","Courtney Lee","NYK","SG,SF","-0.83","-0.78","-0.66","-0.66","-0.67","-0.03","-0.17","-0.72","0.72","-3.80"
"381","Ryan Broekhoff","DAL","F","-0.86","-0.87","-0.75","-0.66","-1.00","-0.03","0.05","-0.58","0.90","-3.80"
"382","Bruno Caboclo","MEM","SF","-0.96","-0.91","-0.84","-0.61","-0.95","-0.15","0.10","-0.74","1.21","-3.86"
"383","Khyri Thomas","DET","PG","-0.86","-0.90","-0.80","-0.55","-0.86","-0.16","-0.09","-0.61","0.96","-3.87"
"384","Miles Plumlee","ATL","PF,C","-0.75","-0.69","-0.64","-0.55","-0.76","0.53","-0.71","-0.85","0.56","-3.87"
"385","Gary Payton II","WAS","SG,PG","-0.97","-0.98","-0.80","-0.71","-0.90","0.07","-0.00","-0.82","1.21","-3.91"
"386","Ivan Rabb","MEM","PF,C","-0.80","-0.59","-0.72","-0.55","-1.00","0.31","-0.15","-0.85","0.43","-3.92"
"387","Dirk Nowitzki","DAL","PF,C","-0.79","-0.76","-0.77","-0.45","-1.00","-0.59","0.01","-0.48","0.88","-3.93"
"388","James Nunnally","FA","F","-0.89","-0.95","-0.77","-0.76","-1.00","-0.19","0.10","-0.64","1.13","-3.97"
"389","Markelle Fultz","PHI","PG,SG","-0.51","-0.45","-0.13","-0.50","-0.25","-0.33","-0.74","-0.74","-0.34","-4.00"
"390","Deonte Burton","OKC","PG","-0.85","-0.87","-0.79","-0.50","-0.90","-0.06","0.04","-0.74","0.66","-4.01"
"391","Devin Robinson","WAS","SG,SF","-0.95","-0.94","-0.83","-0.71","-0.90","0.11","-0.16","-0.85","1.21","-4.02"
"392","Jordan McRae","WAS","PG,SG,PF","-0.95","-0.94","-0.82","-0.71","-0.90","-0.09","0.07","-0.80","1.10","-4.03"
"393","Demetrius Jackson","FA","PG,SG","-0.94","-0.97","-0.79","-0.76","-0.95","0.06","0.10","-0.80","1.02","-4.04"
"394","Raymond Felton","OKC","PG,SG","-0.78","-0.83","-0.52","-0.55","-0.76","-0.37","0.11","-0.69","0.35","-4.05"
"395","Dragan Bender","PHO","PF,C","-0.73","-0.60","-0.69","-0.61","-0.81","-0.11","-0.24","-0.66","0.39","-4.07"
"396","Dillon Brooks","MEM","SG,SF","-0.58","-0.75","-0.66","-0.55","-0.57","-0.38","-0.09","-0.45","-0.03","-4.07"
"397","Drew Eubanks","SAS","F","-0.92","-0.90","-0.83","-0.76","-1.00","0.19","-0.01","-0.85","1.02","-4.07"
"398","Tyler Dorsey","ATL","PG,SG","-0.72","-0.66","-0.64","-0.71","-0.71","-0.48","-0.34","-0.58","0.76","-4.09"
"399","Henry Ellenson","DET","PF","-0.97","-0.92","-0.84","-0.76","-1.04","-0.03","0.05","-0.80","1.21","-4.11"
"400","Jaylen Adams","ATL","G","-0.98","-0.97","-0.78","-0.71","-0.90","-0.09","-0.00","-0.80","1.08","-4.14"
"401","Troy Caupain","ORL","SG","-0.99","-0.98","-0.82","-0.76","-1.00","0.01","-0.00","-0.82","1.21","-4.15"
"402","Sindarius Thornwell","LAC","SG","-0.88","-0.78","-0.73","-0.66","-0.90","-0.04","-0.16","-0.80","0.80","-4.15"
"403","Kadeem Allen","NYK","SG","-0.98","-0.95","-0.82","-0.76","-1.04","0.02","-0.00","-0.85","1.21","-4.18"
"404","Duncan Robinson","MIA","G","-0.99","-0.95","-0.85","-0.76","-1.00","-0.04","-0.00","-0.80","1.21","-4.18"
"405","Andrew Harrison","FA","PG,SG","-0.83","-0.84","-0.56","-0.66","-0.86","-0.45","0.33","-0.72","0.38","-4.19"
"406","Mitch Creek","BKN","F","-0.98","-0.95","-0.84","-0.76","-1.00","-0.02","-0.01","-0.85","1.21","-4.20"
"407","PJ Dozier","BOS","G","-0.98","-0.96","-0.85","-0.76","-1.04","0.01","-0.00","-0.82","1.21","-4.20"
"408","Rawle Alkins","CHI","G","-1.00","-0.97","-0.83","-0.76","-1.00","-0.04","-0.00","-0.82","1.21","-4.21"
"409","Daryl Macon","DAL","G","-1.00","-0.99","-0.85","-0.76","-1.00","0.03","-0.00","-0.85","1.21","-4.21"
"410","Tyler Lydon","DEN","PF","-0.94","-0.88","-0.80","-0.76","-0.95","0.03","-0.13","-0.74","0.96","-4.22"
"411","Haywood Highsmith","PHI","F","-1.00","-0.98","-0.83","-0.76","-1.04","0.00","-0.00","-0.82","1.21","-4.22"
"412","Kalin Lucas","DET","PG,SG","-1.00","-0.97","-0.84","-0.76","-1.04","-0.02","0.05","-0.85","1.21","-4.23"
"413","Christian Wood","MIL","PF,C","-0.93","-0.87","-0.83","-0.76","-1.04","0.06","0.04","-0.80","0.87","-4.25"
"414","Ron Baker","FA","PG,SG","-0.96","-0.91","-0.67","-0.71","-0.76","-0.28","0.04","-0.82","0.82","-4.25"
"415","Moritz Wagner","LAL","PF","-0.82","-0.77","-0.75","-0.61","-0.90","-0.23","-0.17","-0.61","0.62","-4.25"
"416","Thomas Welsh","DEN","C","-0.96","-0.96","-0.80","-0.76","-1.04","0.02","-0.05","-0.77","1.08","-4.25"
"417","Amile Jefferson","ORL","PF","-1.00","-0.98","-0.85","-0.76","-1.04","-0.02","0.05","-0.85","1.21","-4.26"
"418","Zhou Qi","FA","PF,C","-1.00","-0.99","-0.85","-0.76","-1.04","0.03","-0.00","-0.85","1.21","-4.26"
"419","Timothe Luwawu-Cabarrot","OKC","SG,SF","-0.90","-0.85","-0.80","-0.71","-0.86","-0.36","-0.06","-0.72","0.99","-4.27"
